id,title,url,detail_url,gallery,gallery_sitetypes,gallery_industry,site_type,industry,overseas,thumb,fetched_at
muuuuu-24814,株式会社コンテナ,https://contenna.net/,,muuuuu,"co,b2b-company",ad,corporate,ad,,https://muuuuu.org/wp-content/uploads/2026/09/07-768x576.png,2026-09-14T05:00:13+09:00
muuuuu-24817,くまWeb,https://kumaweb-coding.jp/,,muuuuu,"b2b-company,service",ad,service,ad,,https://muuuuu.org/wp-content/uploads/2026/09/08-768x576.png,2026-09-14T05:00:13+09:00
muuuuu-24825,Goodpatch,https://goodpatch.com/ja,,muuuuu,"co,b2b-company",ad,corporate,ad,,https://muuuuu.org/wp-content/uploads/2026/09/11-768x576.png,2026-09-14T05:00:13+09:00
muuuuu-24827,yama-niwa,https://yama-niwa.jp/,https://muuuuu.org/industry/trip/24827.html,muuuuu,service,trip,service,trip,,https://muuuuu.org/wp-content/uploads/2026/09/10-768x576.png,2026-09-14T05:00:13+09:00
muuuuu-24839,Asobica,https://asobica.co.jp/,https://muuuuu.org/industry/technology/24839.html,muuuuu,"co,b2b-company",technology,corporate,technology,,https://muuuuu.org/wp-content/uploads/2026/09/12-768x576.png,2026-09-14T05:00:13+09:00
muuuuu-24843,TSG 公式サイト,https://www.tsg-jpn.co.jp/,https://muuuuu.org/industry/company/24843.html,muuuuu,"co,b2b-company",company,corporate,company,,https://muuuuu.org/wp-content/uploads/2026/09/09-768x576.png,2026-09-14T05:00:13+09:00
